from	to	year	trade
Japan	Pakistan	2011	0
Japan	Saudi Arabia	2011	0
Japan	South Korea	2011	0
Japan	United Arab Emirates	2011	0
Japan	Viet Nam	2011	0
Pakistan	Bangladesh	2011	0
Pakistan	China	2011	0
Pakistan	Hong Kong	2011	0
Pakistan	India	2011	0
Pakistan	Iran	2011	0
Pakistan	Israel	2011	0
Pakistan	Japan	2011	0
Pakistan	Saudi Arabia	2011	0
Pakistan	South Korea	2011	0
Pakistan	United Arab Emirates	2011	0
Pakistan	Viet Nam	2011	0
Saudi Arabia	Bangladesh	2011	0
Saudi Arabia	China	2011	0
Saudi Arabia	Hong Kong	2011	0
Saudi Arabia	India	2011	0
Saudi Arabia	Iran	2011	0
Saudi Arabia	Israel	2011	0
Saudi Arabia	Japan	2011	0
Saudi Arabia	Pakistan	2011	0
Saudi Arabia	South Korea	2011	0
Saudi Arabia	United Arab Emirates	2011	0
Saudi Arabia	Viet Nam	2011	0
South Korea	Bangladesh	2011	0
South Korea	China	2011	0
South Korea	Hong Kong	2011	0
South Korea	India	2011	0
South Korea	Iran	2011	0
South Korea	Israel	2011	0
South Korea	Japan	2011	0
South Korea	Pakistan	2011	0
South Korea	Saudi Arabia	2011	0
South Korea	United Arab Emirates	2011	0
South Korea	Viet Nam	2011	0
United Arab Emirates	Bangladesh	2011	0
United Arab Emirates	China	2011	0
United Arab Emirates	Hong Kong	2011	0
United Arab Emirates	India	2011	0
United Arab Emirates	Iran	2011	0
United Arab Emirates	Israel	2011	0
United Arab Emirates	Japan	2011	0
United Arab Emirates	Pakistan	2011	0
United Arab Emirates	Saudi Arabia	2011	0
United Arab Emirates	South Korea	2011	0
United Arab Emirates	Viet Nam	2011	0
Viet Nam	Bangladesh	2011	0
Viet Nam	China	2011	0
Viet Nam	Hong Kong	2011	0
Viet Nam	India	2011	0
Viet Nam	Iran	2011	0
Viet Nam	Israel	2011	0
Viet Nam	Japan	2011	0
Viet Nam	Pakistan	2011	0
Viet Nam	Saudi Arabia	2011	0
Viet Nam	South Korea	2011	0
Viet Nam	United Arab Emirates	2011	0
Bangladesh	China	2010	0
Bangladesh	Hong Kong	2010	0
Bangladesh	India	2010	0
Bangladesh	Iran	2010	0
Bangladesh	Israel	2010	0
Bangladesh	Japan	2010	0
Bangladesh	Pakistan	2010	0
Bangladesh	Saudi Arabia	2010	0
Bangladesh	South Korea	2010	0
Bangladesh	United Arab Emirates	2010	0
Bangladesh	Viet Nam	2010	0
China	Bangladesh	2010	0
China	Hong Kong	2010	4421
China	India	2010	0
China	Iran	2010	0
China	Israel	2010	0
China	Japan	2010	0
China	Pakistan	2010	0
China	Saudi Arabia	2010	0
China	South Korea	2010	0
China	United Arab Emirates	2010	0
China	Viet Nam	2010	0
Hong Kong	Bangladesh	2010	0
Hong Kong	China	2010	0
Hong Kong	India	2010	0
Hong Kong	Iran	2010	0
Hong Kong	Israel	2010	0
Hong Kong	Japan	2010	0
Hong Kong	Pakistan	2010	0
Hong Kong	Saudi Arabia	2010	0
Hong Kong	South Korea	2010	0
Hong Kong	United Arab Emirates	2010	0
Hong Kong	Viet Nam	2010	0
India	Bangladesh	2010	129
India	China	2010	0
India	Hong Kong	2010	0
India	Iran	2010	0
India	Israel	2010	0
India	Japan	2010	0
India	Pakistan	2010	0
India	Saudi Arabia	2010	0
India	South Korea	2010	0
India	United Arab Emirates	2010	0
India	Viet Nam	2010	0
Iran	Bangladesh	2010	0
Iran	China	2010	0
Iran	Hong Kong	2010	0
Iran	India	2010	0
Iran	Israel	2010	0
Iran	Japan	2010	0
Iran	Pakistan	2010	0
Iran	Saudi Arabia	2010	0
Iran	South Korea	2010	0
Iran	United Arab Emirates	2010	0
Iran	Viet Nam	2010	0
Israel	Bangladesh	2010	0
Israel	China	2010	0
Israel	Hong Kong	2010	0
Israel	India	2010	0
Israel	Iran	2010	0
Israel	Japan	2010	0
Israel	Pakistan	2010	0
Israel	Saudi Arabia	2010	0
Israel	South Korea	2010	0
Israel	United Arab Emirates	2010	0
Israel	Viet Nam	2010	0
Japan	Bangladesh	2010	0
Japan	China	2010	0
Japan	Hong Kong	2010	0
Japan	India	2010	0
Japan	Iran	2010	0
Japan	Israel	2010	0
Japan	Pakistan	2010	0
Japan	Saudi Arabia	2010	0
Japan	South Korea	2010	0
Japan	United Arab Emirates	2010	0
Japan	Viet Nam	2010	0
Pakistan	Bangladesh	2010	0
Pakistan	China	2010	0
Pakistan	Hong Kong	2010	0
Pakistan	India	2010	0
Pakistan	Iran	2010	0
Pakistan	Israel	2010	0
Pakistan	Japan	2010	0
Pakistan	Saudi Arabia	2010	0
Pakistan	South Korea	2010	0
Pakistan	United Arab Emirates	2010	0
Pakistan	Viet Nam	2010	0
Saudi Arabia	Bangladesh	2010	0
Saudi Arabia	China	2010	0
Saudi Arabia	Hong Kong	2010	0
Saudi Arabia	India	2010	0
Saudi Arabia	Iran	2010	0
Saudi Arabia	Israel	2010	0
Saudi Arabia	Japan	2010	0
Saudi Arabia	Pakistan	2010	0
Saudi Arabia	South Korea	2010	0
Saudi Arabia	United Arab Emirates	2010	0
Saudi Arabia	Viet Nam	2010	0
South Korea	Bangladesh	2010	0
South Korea	China	2010	0
South Korea	Hong Kong	2010	0
South Korea	India	2010	0
South Korea	Iran	2010	0
South Korea	Israel	2010	0
South Korea	Japan	2010	0
South Korea	Pakistan	2010	0
South Korea	Saudi Arabia	2010	0
South Korea	United Arab Emirates	2010	0
South Korea	Viet Nam	2010	0
United Arab Emirates	Bangladesh	2010	0
United Arab Emirates	China	2010	0
United Arab Emirates	Hong Kong	2010	0
United Arab Emirates	India	2010	0
United Arab Emirates	Iran	2010	0
United Arab Emirates	Israel	2010	0
